year,name,gender,birth_year,expertise,employer,nature_of_employer,nominator
2019,董尔丹,male,1959,医药卫生工程管理,北京大学第三医院,university/research institute,院士提名
2019,樊启祥,male,1963,土木、水利与建筑工程管理,中国华能集团有限公司,state-owned enterprise,院士提名
2019,方东平,male,1963,土木、水利与建筑工程管理,清华大学,university/research institute,中国科协
2019,冯仲科,male,1962,农业工程管理,北京林业大学,university/research institute,中国科协
2019,高自友,male,1963,机械与运载工程管理,北京交通大学,university/research institute,院士提名
2019,胡明春,male,1963,信息与电子工程管理,中国电子科技集团公司第十四研究所,state-owned enterprise,中国科协
2019,黄季焜,male,1962,农业工程管理,北京大学,university/research institute,中国科协
2019,焦方正,male,1962,能源与矿业工程管理,中国石油天然气集团有限公司,state-owned enterprise,院士提名
2019,金会庆,male,1956,医药卫生工程管理,安徽三联学院,university/research institute,中国科协
2019,金晓剑,male,1959,能源与矿业工程管理,海洋石油工程股份有限公司,state-owned enterprise,中国科协
2019,李明华,male,1962,机械与运载工程管理,中国航天科技集团有限公司第一研究院,state-owned enterprise,院士提名
2019,李贤玉（女）,female,1965,信息与电子工程管理,中国人民解放军火箭军研究院,military,院士提名
2019,李彦宏,male,1968,新兴交叉领域工程技术创新管理,百度在线网络技术（北京）有限公司,private enterprise,中国科协
2019,林鸣,male,1957,土木、水利与建筑工程管理,中国交通建设股份有限公司,state-owned enterprise,院士提名
2019,刘仓理,male,1961,机械与运载工程管理,中国工程物理研究院,university/research institute,院士提名
2019,刘辉,male,1960,土木、水利与建筑工程管理,中国中铁股份有限公司,state-owned enterprise,中国科协
2019,刘中民,male,1956,医药卫生工程管理,同济大学附属东方医院,university/research institute,院士提名
2019,陆化普,male,1957,土木、水利与建筑工程管理,清华大学,university/research institute,院士提名
2019,孙丽丽（女）,female,1961,化工、冶金与材料工程管理,中国石化工程建设有限公司,state-owned enterprise,院士提名
2019,孙昕,male,1955,能源与矿业工程管理,国家电网有限公司,state-owned enterprise,中国科协
2019,谭旭光,male,1961,机械与运载工程管理,山东重工集团有限公司,state-owned enterprise,院士提名
2019,唐立新,male,1966,化工、冶金与材料工程管理,东北大学,university/research institute,院士提名
2019,王安建,male,1953,能源与矿业工程管理,中国地质科学院矿产资源研究所,university/research institute,院士提名
2019,王传福,male,1966,化工、冶金与材料工程管理,比亚迪股份有限公司,private enterprise,中国科协
2019,王坚,male,1962,新兴交叉领域工程技术创新管理,阿里巴巴（中国）有限公司,private enterprise,院士提名
2019,王俭,male,1957,新兴交叉领域工程技术创新管理,公安部,gov department,院士提名
2019,王军,male,1963,机械与运载工程管理,中国中车集团有限公司,state-owned enterprise,中国科协
2019,王自力,male,1964,机械与运载工程管理,北京航空航天大学,university/research institute,院士提名中国科协
2019,魏一鸣,male,1968,环境与轻纺工程管理,北京理工大学,university/research institute,中国科协
2019,吴燕生,male,1963,机械与运载工程管理,中国航天科技集团有限公司,state-owned enterprise,院士提名
2019,吴子丹,male,1955,环境与轻纺工程管理,国家粮食和物资储备局,gov department,院士提名
2019,徐玖平,male,1962,能源与矿业工程管理,四川大学,university/research institute,院士提名
2019,杨宏,male,1963,信息与电子工程管理,中国航天科技集团有限公司第五研究院载人航天总体部,state-owned enterprise,院士提名
2019,姚林,male,1965,化工、冶金与材料工程管理,鞍钢集团有限公司,state-owned enterprise,院士提名
2019,姚燕（女）,female,1957,化工、冶金与材料工程管理,中国建筑材料科学研究总院有限公司,state-owned enterprise,院士提名
2019,于勇,male,1963,化工、冶金与材料工程管理,河钢集团有限公司,state-owned enterprise,院士提名
2019,张来勇,male,1962,化工、冶金与材料工程管理,中国寰球工程有限公司,private enterprise,中国科协
2019,张新国,male,1958,机械与运载工程管理,中国航空工业集团有限公司,state-owned enterprise,院士提名
2019,郑健,male,1962,土木、水利与建筑工程管理,中国铁路总公司,state-owned enterprise,中国科协
2019,朱明,male,1958,农业工程管理,农业农村部规划设计研究院,gov department,院士提名
2019,朱石坚,male,1955,机械与运载工程管理,中国人民解放军海军工程大学,military,院士提名
